,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
3632,Castlevania,Platform,T,N64,Konami,KCEK,7.6,,0.64,0.44,0.1,0.04,0.05,1999,1,,7.6
3594,Champions: Return to Arms,Role-Playing,T,PS2,Sony Online Entertainment,Snowblind Studios,7.7,,0.65,0.32,0.25,,0.08,2005,1,,7.7
3597,Harry Potter and the Goblet of Fire,Adventure,E10,PS2,Electronic Arts,Electronic Arts,6.7,,0.65,0.54,0.02,,0.09,2005,1,,6.7
3599,BIT.TRIP RUNNER,Platform,,PC,Gaijin Entertainment,Gaijin Games Inc.,7.0,,0.65,,,,,2011,1,,7.0
3589,Centipede,Shooter,E,PS,Hasbro Interactive,Leaping Lizard Software Inc.,5.9,,0.65,0.36,0.25,,0.04,1999,1,,5.9
3607,Star Ocean: First Departure,Role-Playing,T,PSP,Square Enix,TOSE Software,7.5,,0.65,0.2,0.14,0.22,0.09,2008,1,,7.5
3608,Far Cry 4,Shooter,M,PC,Ubisoft,Ubisoft Montreal,8.5,,0.65,0.19,0.41,,0.05,2014,1,,8.5
3592,007: Quantum of Solace,Shooter,T,Wii,Activision,Beenox,5.6,,0.65,0.29,0.28,0.01,0.07,2008,1,6.4,6.0
3605,Tiger Woods PGA Tour 10,Sports,E,X360,EA Sports,EA Tiburon,8.3,,0.65,0.39,0.2,,0.06,2009,1,,8.3
3588,Advance Wars 2: Black Hole Rising,Strategy,E,GBA,Nintendo,Intelligent Systems,8.8,,0.65,0.47,0.17,,0.01,2003,1,,8.8
3612,Drawn to Life: The Next Chapter,Adventure,E,DS,THQ,5TH Cell,7.4,,0.65,0.44,0.14,,0.06,2009,1,,7.4
3606,LEGO City Undercover,Platform,E10,NS,Warner Bros. Interactive Entertainment,TT Fusion,8.0,,0.65,0.23,0.33,0.03,0.05,2017,1,,8.0
3573,Transformers: The Game,Action,E10,PSP,Activision,Savage Entertainment,4.3,,0.65,0.23,0.27,,0.16,2007,1,,4.3
3576,Tiger Woods PGA Tour 09,Sports,E,PS3,EA Sports,EA Tiburon,8.5,,0.65,0.34,0.22,,0.1,2008,1,,8.5
